name,categories,lat,long
Subway,Sandwich Place,51.3392763483819,-0.11568900564985819
Dan Thai,Thai Restaurant,51.33768374919727,-0.11652104996998067
PizzaExpress,Pizza Place,51.33866797242081,-0.11680859512359272
Purley Cafe (High St),Diner,51.338841,-0.115186
superfryer,Fish & Chips Shop,51.337735642233355,-0.11569942487620316
Domino's Pizza,Pizza Place,51.337756,-0.113888
Big Mikes Calypso Kitchen,Fast Food Restaurant,51.33802360115558,-0.11611819267272949
Kebabish,BBQ Joint,51.33781749673316,-0.11499166488647461
Golden Orient,Chinese Restaurant,51.337414904554535,-0.11474697880858506
Mekan,Turkish Restaurant,51.33965101732004,-0.11498233954292426
Purley Cafe,Breakfast Spot,51.338887361240204,-0.1154990136179023
Lupita Coffee House,Café,51.337816,-0.11575
Astos Cafe,Café,51.338842,-0.116566
Costa Coffee,Coffee Shop,51.337005,-0.117788
zornas spices,Indian Restaurant,51.34019470214844,-0.11781139671802521
Coughlans Bakery,Café,51.33908695831499,-0.11538191497803202
Cafe Blacks,Café,51.339399795855925,-0.11537539896804286
Alley way,Cajun / Creole Restaurant,51.33922026995102,-0.11572268703416136
Mingo Argentine Steakhouse Purley,Argentinian Restaurant,51.33906081178415,-0.11711061000823975
Chicken Cottage Purley,Fast Food Restaurant,51.339476594550504,-0.11537001056834541
Planet Pizza,Pizza Place,51.339536119025176,-0.11729873347414285
Obia,Italian Restaurant,51.338294,-0.115361
Las Fuentes,Tapas Restaurant,51.33851417037038,-0.11541090619681016
Domino's Pizza,Pizza Place,51.33931592760133,-0.11735107309755248
Purley Express,Steakhouse,51.33964,-0.115012
Purley Grill,Turkish Restaurant,51.338355059560556,-0.11573622046891824
Blacks Burgers,Burger Joint,51.339496966194986,-0.11540441211405966
Lahore Karahi,Dim Sum Restaurant,51.338665228327315,-0.1154081068940709
Firebellys,Pizza Place,51.337466,-0.11681556701660156
Baan Thai,Thai Restaurant,51.34241043695765,-0.11550761026988522
Cafe nino,Café,51.338784,-0.116385
Purley Messroom,Tea Room,51.34129726682279,-0.11175450292586288
Oriental Kitchen,Chinese Restaurant,51.33798667891257,-0.11392256677761882
Cafe Blue,Café,51.33890230249297,-0.11628620366874479
Big Mike's,Bar,51.338879989999995,-0.11526435714285713
Raes,Caribbean Restaurant,51.33774698888888,-0.115145
Chicken Cottage,Burger Joint,51.340966,-0.116865
pizza go go,Pizza Place,51.33696566620031,-0.1177785911834613
Raj of Purley,Indian Restaurant,51.339949643658045,-0.1179322102035485
Wimpy,Burger Joint,51.338805,-0.116589
Star Express Restaurant,Café,51.3406921624325,-0.11585236213457041
Greggs,Bakery,51.341037,-0.014794
Star Burger,Café,51.341891,-0.015534
The Teashop,Café,51.337204,0.053413846
Rajdoot,Indian Restaurant,51.3369,0.0538
Cake,Tea Room,51.33684345932113,0.053877326535030835
kirky's cafe,Café,51.341530106876704,0.2640290722345608
Zeynep's Kitchen,Café,51.351356506347656,-0.22165842354297638
saffronloungesouthend,Indian Restaurant,51.35,-0.19999999999998863
Dragon City (Hong Kong cuisine) Take Away,Chinese Restaurant,51.35379861518513,-0.16215199105406392
Imperial Lounge & Restaurant,Indian Chinese Restaurant,51.353098253888405,-0.1174838759695503
Amera Rani,Indian Restaurant,51.35315290343639,-0.09786550833815173
Toby Carvery,English Restaurant,51.349538661486285,-0.10031479154647162
Ellys Café,Café,51.3524606564948,-0.0984635134016174
Master Chef,Fish & Chips Shop,51.34839676,-0.09422833000000001
Station Fish Bar,Fish & Chips Shop,51.348035210205396,-0.0945216409484922
Morleys South Croydon,Fried Chicken Joint,51.348423,-0.095496
Sanderstead Tandoori,Indian Restaurant,51.34829521179199,-0.09447276592254639
Golden Bowl,Chinese Restaurant,51.349535744184564,-0.10041380241899629
pizza hut,Pizza Place,51.3517183582677,-0.09907991431208256
Kebab Shop,Fast Food Restaurant,51.35177445796844,-0.0989946709788896
