Name,Latitude,Longitude,Platform / Entrance,Line
Snaresbrook,51.58002,0.02133,platforms,Central
South Acton,51.49960784,-0.270187631,Platform,London Overground
South Ealing,51.500801,-0.307856,Platform,Piccadilly
South Harrow,51.56461,-0.3521,Platform,Piccadilly
South Kensington,51.494066,-0.172791,C/D Platform,"Circle, District, Piccadilly"
South Kenton,51.57044666,-0.308566354,Platform,Bakerloo
South Ruislip,51.556795,-0.398708,Platform,Central
South Wimbledon,51.41543048,-0.192262754,Entrance,Northern
South Woodford,51.59088,0.02726,platforms,Central
Southfields,51.444941,-0.206466,Entrance,District
Southgate,51.6324,-0.12765,entrance,Piccadilly
Southwark,51.50384,-0.10478,Entrance,Jubilee
St.John's Wood,51.53472,-0.17428,Entrance,Jubilee
St.Paul's,51.515285,-0.097598,Entrance,Central
Stamford Brook,51.494935,-0.24619,Platform,District
Stanmore,51.61895,-0.30241,Platform,Jubilee
Stepney Green,51.521884,-0.046546,Entrance,"District, Hammersmith & City"
Stockwell,51.47224,-0.1227,Entrance,"Northern, Victoria"
Stonebridge Park,51.54402388,-0.275978856,Platform,Bakerloo
Stratford,51.541208,-0.003776,Central Line Platform,"Central, Jubilee, London Overground"
Sudbury Hill,51.556998,-0.335949,Entrance,Piccadilly
Sudbury Town,51.55093,-0.31598,Platform,Piccadilly
Surrey Quays,51.49365,-0.04816,Platforms,"East London, Jubilee"
Swiss Cottage,51.54333,-0.17436,Avenue Road entrance,Jubilee
Temple,51.51114,-0.11341,Entrance,"Circle, District"
Theydon Bois,51.67246,0.10354,platforms,Central
Tooting Bec,51.43578971,-0.159635693,Entrance,Northern
Tooting Broadway,51.42780008,-0.167910811,Entrance,Northern
Tottenham Court Road,51.51672074,-0.13093911,Entrance,"Central, Northern"
Tottenham Hale,51.588878,-0.059808,Mainline Platform,Victoria
Totteridge & Whetsto,51.63022,-0.17917,Entrance,Northern
Tower Hill,51.50991,-0.076813,Entrance,"Circle, District"
Tufnell Park,51.55663,-0.13813,Entrance,Northern
Turnham Green,51.495143,-0.25406,Platform,District
Turnpike Lane,51.59031,-0.10308,entrance,Piccadilly
Upminster,51.55925,0.25177,platforms,District
Upminster Bridge,51.55847,0.23509,platforms,District
Upney,51.53824,0.09998,platforms,District
Upton Park,51.53514,0.03373,platforms,"District, Hammersmith & City"
Uxbridge,51.54687,-0.47725,Platform,"Piccadilly, Metropolitan"
Vauxhall,51.48603,-0.12369,Entrance,Victoria
Victoria,51.49662869,-0.14400853,C/D Platform,"Circle, District, Victoria"
Walthamstow Central,51.58293,-0.01996,mainline platforms,Victoria
Wanstead,51.57565,0.02864,Entrance Hall,Central
Wapping,51.50451,-0.05607,Exit,East London
Warren Street,51.5245,-0.1381,??,"Northern, Victoria"
Warwick Avenue,51.52329728,-0.183777837,Platform,Bakerloo
Waterloo,51.50322,-0.11328,"W+C / Bakerloo / Northern Line entrance, platform 18","Bakerloo, Northern, Waterloo & City"
Watford,51.65741058,-0.41745306,Platform,Metropolitan
Wembley Central,51.55122817,-0.29577538,Platform,Bakerloo
Wembley Park,51.56355598,-0.279770242,Platform,"Jubilee, Metropolitan"
West Acton,51.51818,-0.28064,Platform,Central
West Brompton,51.48681,-0.19475,Platform,District
West Finchley,51.60922281,-0.188711152,Platform,Northern
West Ham,51.527917,0.004141,Platform,"District, Hammersmith & City, Jubilee"
West Hampstead,51.54678865,-0.191016868,Jubilee Line Entrance,Jubilee
West Harrow,51.5795432,-0.353144584,Platform,Metropolitan
West Kensington,51.49085,-0.20532,Platform,District
West Ruislip,51.569324,-0.43674,Platform,Central
Westbourne Park,51.520995,-0.201778,Platform,Hammersmith & City
Westminster,51.50121,-0.12489,Portcullis House exit,"Circle, District, Jubilee"
White City,51.512206,-0.224226,Platform,Central
Whitechapel,51.51946,-0.05951,Exit,"District, East London, Hammersmith & City"
Willesden Junction,51.53032031,-0.229378995,Platform (Bakerloo),Bakerloo
Wimbledon,51.422,-0.20544,Platform,District
Wimbledon Park,51.43391,-0.19864,Platform,District
Wood Green,51.59709,-0.10939,Entrance,Piccadilly
Woodford,51.60582,0.03328,platforms,Central
Woodside Park,51.61817173,-0.185578888,Platform,Northern
